job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
17782,ADMINISTRATIVE ASSISTANT,"US, NY, New York",,17000-21000,,"LabCorp is seeking an Administrative Assistant to provide general administrative and clerical support to the department.Receive and screen telephone calls, schedule meetings and conferences, maintain multiple calendar, and open and review incoming mail. Respond to inquiries regarding policies and procedures. Investigate, evaluate, and resolve problems within the scope of the position. Maintain and update record keeping systems, databases, and spreadsheets. Implement administrative policies. Transcribe meeting minutes, prepare notices and agendas with supporting documentation. Prepare/submit travel reimbursement forms. Communicate effectively verbally and in writing. Perform other duties as assigned.","Experience in:  Providing administrative support to high-level executive; developing and maintaining effective working relationships; working independently; maintain muliple calendars; composing professional correspondence and reports; utilizing organizational skills; customer service; Microsoft Office (Access, Excel, Work, Outlook, PowerPoint); coordinating travel; transcribing minutes.  Evidence in effective written and verbal communication skills.","BENEFITS AND JOB ENTITLEMENT : 401( k ) Savings (100% company match up to 6% employee contribution after 1 year),Pension,Medical,Dental,Reimbursement Accounts (Flexible Spending Accounts),Employee Life Insurance,Dependent Life Insurance,Business Travel Accident Insurance,Short-Term Disability,Long-Term Disability    Educational Assistance,Paid Holidays,Paid Sick Leave,Paid Vacation.",0,0,0,Part-time,Entry level,Certification,Accounting,Administrative,1
17828,Student Positions Part-Time and Full-Time.,"US, CA, Los Angeles",,,,"Student Positions Part-Time and Full-Time.You can do it all from home, in your free time, at your own place.Spend 30 minutes or 1 hours a day &amp; Get biggest cash.You can work in the morning, afternoon, or at night.Perfect for everyone then start immediately.Can earn $350 to $450 extra per day.No any experience required.Zero start-up fee, Visit here:-#URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info",,,0,0,0,Part-time,,,,,1
15931,Software Development engineer,"US, OH, Groveport",,,,"Position:  Software Development EngineerLocation: Groveport, OHDuration:  6+ months Contract to Hire Skills:Java J2EEAgileJSPJBDCWeb servicesOracleSOAHibernateiBatis Major Responsibilities include :Works collaboratively with technical and business team members to develop and maintain business solutions following Agile development principles and practicesIs influential and engages actively in building out a dynamic and productive development organization and continuously improving practices and methodologyDesigns and develops applications with an eye towards simplicity, reliability, manageability, scalability, extensibility, performance and re-useProvides technical expertise in the areas of architecture, design, implementation, and testingSets and adheres to software coding and style guides to ensure consistencyParticipates in pairing and code reviewsSupport (2nd level) and troubleshoot problems with existing applicationsMentors and guides others who are still developing their skills                        ","Minimum Qualifications include:A minimum of 7 years software development experience, 5 years of which are Java/J2ee specific, is requiredSelf-motivated team player who excels in a collaborative environmentEcommerce experience is a must.Hands on experience with Agile methodologies.Strong sense of personal accountability; contributes beyond job role and responsibilitiesExcellent problem solving skills; meticulous &amp; methodicalAbility to learn and apply new technologies quickly and self-directedProven ability to translate complex business requirements into simple software solutionsPassionate about continuously improving organizational practicesThorough understanding of Object Oriented principles (Analysis and Design)Candidates must have a robust understanding of Java and an in-depth understanding of other Java technologies, including Servlets, Struts/Tiles, JSP, JDBC, JMS, SpringFamiliarity with front-end technologies – Object-Oriented Javascript, AJAX, XHTML, HTML, XML/DOMFull lifecycle development experience on large projects, creating distributed and scalable business systems.Experience with WebServices (REST, SOAP, XML-RPC, etc)Experience with relational databases and data access (JDBC/DAO/SQL) Oracle strongly preferred.Familiarity with ORM technologies (iBatis, Hibernate)Mentor and guide others who are still developing their skills Desired Qualifications includeFamiliarity with EAI patterns, queuing systems (e.g. MQ Series, JMS, etc.) and business process orchestration (e.g. BPEL), workflow automation systems, etc.Familiarity with RubyExperience with test automation frameworksExperience in developing and driving SOA strategies within large enterprises and deploying SOA implementations to production a big plus",,0,0,0,Contract,Mid-Senior level,,Information Technology and Services,Information Technology,1
3980,"Interior Designer - Automotive IP/Cluster, HMI, Plastics","US, OH, Marysville",,65000-75000,"Cresttek is a subsidiary of American Hydrostatics, a 25 year old company providing Manufraturing and MRO services to Automotive Industry, Cresttek focusses on providing Engineering Services to the Automotive and Industrial Manufacturing companies. At Cresttek, we are group a professionals with experience over 20 years of experience in doing business in US, Canada, UK, Germany, Italy, India, Korea, Japan and Singapore. People make Products. We believe and practice a culture of People-First which intuitively is also our Customer Satisfaction Strategy.","Perform Feasibility on Styling Class-A surfaces - Create sections and make creative construction proposals / options for review with the Technical Expert and negotiation with Styling and affected DepartmentsBenchmark competitors prior to making a design proposal and setting the direction understand how the part design can affect IQS (Initial Quality Survey), may need to create documentation for IQS calculationEffectively work as a team with others and able to go to the source for face to face discussionsPerform Layout Check - Ensure the part design meets the partRequirements and Guidelines for Clearances, Construction, Installation and Service removalMake Documentation for Communication to Styling, Technical Evaluation Documents for part responsibility, Documentation needed for discussion with Suppliers, Factory, other departments, etc.Responsible to create / negotiate the Part development schedule and ensure the part meets the project schedule and project deliverablesNeed to understand the part and department expectations and work independently.Need to report to the Group Leader and Technical Expert on a regular basis for  confirmation of Layout and understanding of current part development status Schedule and lead meetings with Suppliers, Factory, and other departments and take adequate meeting minutesCreate and issue 2D Drawings that meet the drawing issue deadlines Ensure Suppliers meet the negotiated deadlinesCreate 3D Data and ensure the DPM is up to date in a timely manner and meets the DPM Freeze schedule deadlinesEffectively communicate with affected groups the responsible part requirements, Perform cost calculation for responsible parts, keep cost targets, track cost changes and create documentation needed to explain changes from one drawing Revision to the next.Create the part Pinout Sheet and negotiate the requirements with Harness Group","Expertise in Switches, knobs, cluster, display and all HMI components packagingAutomotive related background (must have plastic design exp)Layout study, feasibility, 3D data creation, 2D drawing creationGood communication skillsExperience with OEM is added advantage",,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Automotive,Engineering,0
16024,"Home Health CNA - Scenic, AZ","US, AZ, Scenic",,,"Critical Nurse Staffing, Inc. is enrolled with the U.S Department of Labor to provide nursing care to the former defense workers now receiving benefits through the RECA and EEOICP programs.We are proud to provide services to Defense Industry Workers covered under the Federal EEOICP and RECA programs, as well as recipients of the Federal Black Lung Benefits Program.We proudly provide care for the following patient groups:Uranium Miners, Millers and TransportersNuclear Weapons Plant Employees or ContractorsFormer Coal MinersOur service offers an integrated team of personal case managers, nurses, respiratory therapists and home aides. Our services focus on addressing the full range of a clients needs, including a client’s medical condition, the client’s comfort, emotional well-being, independence, functionality as well as nutritional and psychosocial needs.","Critical Nurse Staffing, Inc. is seeking a CNA to join our team and provide comprehensive care to our patients in ­­­­­­­­­­­­­­­­­­­­­­Scenic, Arizona. The role of the CNA in this position will be to work closely with patients and to provide basic care services.The applicant should have an outgoing personality, the ability to communicate effectively, multi-task, remain calm in stressful situations, and be able to give patients the essential social and emotional support, along with providing vital information on patient conditions to nurses.Qualification for this position include a current and valid CNA certificate.A resume must be attached in order to be considered for this position. Please submit your resume and apply for this position on our website at #URL_c8b47bbcf78a49b7998350b58cc78cd45ee2677e96a68666a0f1cdded5ccaf77#Critical Nurse Staffing, Inc. is an equal opportunity employer, m/f/v/d and a drug free work place.",,,0,1,0,,,,,,0
10947,Customer Service Associate  ,"US, FL, Tampa",,,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth."," The Customer Service Associate will be based in Tampa, FL. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities include but are not limited to: Customer service and data protection  Attention to detail and the ability to follow detailed instructionsOpen and sort mailProcess email and fax documentsPrepare documents for delivery to the clientProcess return mailSort work  both by numeric and alphabetic indicatorsScan documents using a MFD or scannerPreform basic machine repairs and maintenance on scanners and inserters.Computer skills including basic excel and database knowledgeMaintaining confidentiality at all times is paramount.  Maintain accuracy of required reports and logs ","Requirements:Minimum of 6 months customer service related experience requiredHigh school diploma or equivalent (GED) requiredAbility to handle multiple tasks simultaneously1 year of mail and data entry experience preferredCustomer service driven; responsive to client issues and concernsProficiency in Microsoft Office Suite Products (Outlook, Excel, Word, etc.)Knowledge and computer database entry experienceMust be able to lift at least 50 pounds with or without accommodationsWillingness to submit to a pre-employment drug screening and criminal background check ",,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Customer Service,0
15428,Arabic Copywriter - Creative Services Team,"AE, , Media City | Dubai",,,"Entertainment everywhere.  Operating under the StarzPlay brand, Playco Ltd., delivers a premium video-on-demand service.  We believe that the home entertainment experience should be available for everyone everywhere. We bridge our cutting-edge technology with in-demand TV series, top quality movies, and a large range of children's programming to reinvent, redefine &amp; shape the viewing experience. Our site allows subscribing users to access premium entertainment content from across the globe. Gone are the days of waiting an entire season to watch your favorite series, as viewers will have access to in-demand, exclusive day-and-date premieres, along with a large selection of movies and box office releases.Playco is currently present in 2 continents with plans to become increasingly global. We encourage and support our employees who wish to relocate to other Playco offices, as we believe that international mobility strengthens and shapes the international culture of Playco.Learn more about us on LinkedIn Do you have what it takes to work with us?Self-startersCreative thinkersProblem-solvers (not problem-identifiers)Affinity for working in teams Sense of humor A MUST!A fine appreciation of TV and film (we might ask for a detailed list)","We are building the next generation of video-on-demand (VoD) and are currently building an all-star team who will help turn our company into a leader in its field. For this particular role, we are looking for a unique blend of “Creative” – where a profound love of language meets an equally overwhelming love of TV and film.The RoleFor a Copywriter in the Creative Services Team this is the opportunity to put your copyediting, proofreading, and copy-enhancing chops to the test. In this role, your primary responsibility will be to write and polish new and existing copy for all our TV series and movie content.  Another important facet of your role will be to brainstorm with teams across the company to help articulate our strategy, tactics, and, goals for communications and ensure we always sound like us.Your verbal skills, together with your obsession about the consistency and quality of our copy that ranges from movie retitles, taglines, and synopses, to our website, down to the one line emails that our customers will receive make you a key player in establishing the “voice” of our company.  In your first month you’ll be expected to:Quickly grasp our company “feel” and within the first week begin enhancing existing copy and writing original copy for online material.Participate in brainstorming sessions with other teams across the company to articulate our communications strategy for the pre-launch phase (including website, email templates, social media, PR, etc.) and ensure we maintain a consistent “voice” across all our content and brand.","You have previous hands-on experience in copywriting, ideally from a leading entertainment company, but a Blue-chip Consumer Goods Company or well-known advertising agency would also be highly valued. Though most important is your ability to craft compelling copy and enhance existing copy that will captivate customers while driving our brand voice.Though talent is critical, personality is also a big deciding factor for our candidates. Your “can-do” attitude is contagious and over all “awesomeness” makes you a key member of our team. If we asked ex-colleagues (which is a possibility) about your “people” skills they’d all agree you’re an excellent team player with an amazing work ethic and fun and friendly attitude.  They would also say that your love of TV and film is borderline annoying.Additional RequirementsNative fluency of Arabic and proficiency in English.Exemplary editing and proofreading skills with the ability to clearly articulate ideas.An awareness of trends in pop and movie culture and a natural ability to speak about the entertainment business, buzz-worthy TV shows, and the latest Oscars-bound flicks. BonusAppreciation of and interest in TV and filmIn-depth understanding of Arabic cultureUnderstanding of Swedish, Swedish culture, and immense respect of Vikings (Your Swedish colleague will be really impressed)An advanced ability of dance would be extremely appreciatedWitty use of profanity, preferably in more than one language (don't worry...we won't tell Mom)","Why Join Us?Growing international team with colleagues from all around the world. Combined, we speak 9 native languages (English, Swedish, Russian, Spanish, French, Portuguese, Urdu, Swahili and Romanian).A shiny new Mac for every employee.Located in Media City.",0,1,0,,,,,,0
12588,Maintenance Technician,"US, NC, Greensboro",,,"We Provide Full Time Permanent Positions for many medium to large US companies. We are interested in finding/recruiting high quality candidates in IT, Engineering, Manufacturing and other highly technical and non-technical jobs.","Apply For This Job HereManufacturer is seeking a Maintenance Technician.  The successful candidate will perform maintenance for the facility and equipment.  RESPONSIBILITIESMaintain facility and equipment. Perform repairs, modifications, installations, etc. of complex electrical, hydraulic and pneumatic systems.","EDUCATION AND/OR EXPERIENCECandidate should have basic troubleshooting skills of electrical, pneumatic, hydraulic and mechanical systemsCandidate should have the ability to read schematics5+ years industrial maintenance experience in a manufacturing environment is requiredPLC skills are not necessary, but would be a plusPlastics and/or extrusion experience not necessary, but also would be a plusAbility to calculate figures and amounts such as proportions, percentages, area, circumference and volume Ability to apply concepts of basic algebra and geometryMust have good problem solving skillsMust have good written and verbal communication skillsMust be able to lift up to 50 lbsApply For This Job Here",,0,0,0,Full-time,,,,Engineering,0
12336,Developer - Front end and Back end,"ES, CT, Barcelona",,,"Typeform is a tech start-up which is transforming data collection into a flexible, intuitive and incredibly engaging user experience: the typeform. We are on a mission: change the obsolete way in which online forms and surveys interact with us humans. A typeform is the natural evolution of forms, which uses state of the art interaction design and smart cross-device technology to get the best out of the current multi-screen scenario, resulting in improved completion rates. Our intuitive platform allows creators to easily build, design and distribute typeforms, as well as analyze resulting data. Typeforms are multi-purpose: they can be used for surveys, forms, exams, contests, quizzes, tutorials ...even presentations! People hate standard forms and surveys, those old-fashioned tools that take users back to the Internet of the 90s, but do love typeforms, far more conversational, interactive and friendly with them. Find out why...  ","Typeform is creating new ways to create forms on the web. We are heavily focused on great UX with the user in mind and we’re now looking for the best developers we can find us to help us build a scalable and maintainable front and backend. What we look forAs an engineer at Typeform, you should have a solid understanding of software architecture and design patterns. You should know OOP from the inside out and would be great if you have a strong desire to innovate, learn about new technologies and be ready to take a part in the building of the product.Our ideal candidates would meet the following requirements:Multiple years of development experienceExperience in writing automated tests and TDD (or similar) to ensure functionality and qualityA love of GitBe highly flexible and like to take a pro-active roleFamiliarity with Agile workingMaking yourself understandable in the english language in a business situation (medium / high level of English)  ","As a front end developer: You would be responsible for creating and innovating in every part of the front end platform at Typeform. This means you should be exceptional at writing Javascript (with Coffeescript) and HTML/CSS that works smoothly in the most popular browsers (at least IE8 and up!) for all our current and future users. We would also look for: Knowledge developing web applications for cross-browser/device usageKnowledge in PHP/nodeJS/Backbone/Less/GruntGood knowledge about UX As a back end developer: You will need to be able to build and design large scale applications. We don’t care much about specific technologies, but the way you think about problems and the approach you take to solve them. We’re looking for people with a passion for innovation. We would also look for:Solid experience with RESTful, Async I/O applicationsExperience with MySql and NoSQL DatabasesExperience using Ruby on Rails, PHP or other web framework.Knowledge of Go/#URL_968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659#",,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Engineering,0
5321,Engagement Marketing Manager,"US, CA, Palo Alto",,,,"EvergiveEvergive was born from a simple desire to donate in search of an easy way to transact.From these simple roots, Evergive grew into a transformative platform that improves and enhances the entire fundraising ecosystem. Our goal is to help nonprofits be more successful in their mission by providing technology to support the donor lifecycle and to provide a better fundraising experience. Partners think of us as a mobile presence for their organization.Evergive is designed to keep individuals connected to the causes and organizations they support. Whether you support a church, a school, a community group or a friend's cause - Evergive simplifies and enhances giving.We are located near Caltrain in Palo Alto, CA and backed by some of Silicon Valley's top investors.Engagement Marketing ManagerThe right candidate for this position is a smart, outside-the-box thinker who is ready to create and implement marketing strategies and excited to analyze engagement to make smarter marketing decisions. We're looking for someone creative and independent who doesn't sleep until goals are accomplished. We love candidates who have overcome adversity and created something out of nothing. This is a position with a lot of potential for growth and ownership, helping define our brand, identity and strategy at our partner organizations. On a daily basis, you will...* Give updates on engagement per partner and progress against our goals* Keep in touch with the partners through calls and visits to make sure their program is on track* Construct creative marketing campaigns to increase awareness of the Evergive platform within our partner communities* Run user engagement at Evergive, constructing and testing the email notification system for donors* Writing the partner adoption playbook, ensuring that we track and measure how we launched a new account and never repeat something that doesn't work","Smart and clever outside-the-box thinkerHigh energy, personable Creative and innovative marketerExcellent oral and written communication skillsAnalytical, data driven decision-makerBackground or degree in marketingComfortable with faith-based organizations",,0,1,1,Full-time,Not Applicable,Bachelor's Degree,Computer Software,Marketing,0
8540,Aramark - Pricing Director - Healthcare Technologies,"US, NC, Charlotte",,,"Pricing Recruiters is the leading global resource for the procurement, vetting and placement of qualified, pricing and profitability professionals worldwide.  We understand and hold appreciation for the unique needs and demands of today’s employers and job seekers who work within the pricing discipline across all levels and industries.  Through our insightful knowledge of pricing in over 5 offices in 4 key international markets we hold an active candidate database of over 4,000 candidates from senior analyst to executive leadership.  Contact one of our recruitment consultants today to learn how we can help position your pricing team for success through strategic recruitment and team buildin","Listing InfoThe Director provides strategic and analytical thought leadership and insight to the Business Units' Commercial Leaders and their teams on all aspects of commercial pricing, commercial policy and specific pricing decisions.The Role EntailsManaging a team of Pricing Analysts and Contract Administrators and assisting them in their skills and career developmentLeveraging in-depth understanding of industry value drivers and profit realization and relevant trends to design strategic pricing strategies for The organizationAdvising sales and leadership teams on new product, service and solution pricing, including performing external pricing research when relevantLeading the annual price review and optimization process during the Operating Plan cycle,Supporting the establishment and renewal of contracts with Key Accounts, including approaches that recognize the specific dynamics of individual clients.Proactively challenging the status quo with the goal to improve the effectiveness of the organization pricing strategiesMonitoring outcomes of and proposing refinements to pricing strategies and tactics","ResponsibilitiesUnderstand and translate economic, industry and competitive trends into optimal pricing strategies for Healthcare Technologies wide range of clientsImprove existing and develop new pricing models to assess the benefits expected from pricing programs, to analyze their outcomes, and prepare recommendations for improvementsLead the identification, assessment and implementation of new pricing strategies that will be relevant and attractive to our customers, will leverage The organization' assets and create/sustain competitive advantageCollaborate with Marketing, Sales and Finance personnel on a daily basis to optimize our pricing programs, refine our estimations of price elasticity and with our Sales Operations and Business Analytics teams to enhance our analytical capabilitiesCollaborate with commercial leadership to build colleague competencies in creating successful pricing strategies and in analyzing their outcomesCollaborate with Finance to align on accounting and management reporting implications of pricing programs and strategic contract structures, and to properly characterize Net Realized Price and Pricing waterfallsContribute to the assessment and implementation of optimal strategies for our Solutions offerings (Products, Services, Expertise) and for any collaboration that may arise from Business Development opportunitiesOn occasion, be a member of the negotiating team with key accounts or existing or new business partnersAn MBA in Finance and/or Marketing is preferredBachelor's degree is requiredAt least 5 years of managing a teamand at least 8 years of demonstrable success in a strategic pricing function are requiredDemonstrated success in leading a Strategic Pricing functionIn-depth expertise of pricing analytics and modeling, and the dynamics of value generation,Ability to proactively translate business-to-business value drivers into innovative and relevant pricing strategies and tacticsFamiliarity with detailed customer and product segmentation approaches and how to tailor different offerings to different segments or product categoriesUnderstanding of relevant accounting principles and their implications on Gross to Net calculations and reportingAbility to simultaneously manage and provide leadership on numerous projects, demonstrated ability to work in high performance teams and a willingness to progress within the organizationAbility to work independently and to build collaborative working relationships with senior members of the business and finance teamsExcellent written and oral communications skills, with the ability to effectively engage at different levels of the organizationSuccessful experience in managing and developing peopleComputer literacy and aptitude to work on system based financial applications. Proficiency in Microsoft Office applications, especially Excel, Access, and PowerPointInterested in this opportunity?Apply for this job onlineRefer a friend to this jobNot ready to apply? Connect with us.ARAMARK is an EQUAL EMPLOYMENT OPPORTUNITY/AFFIRMATIVE ACTION employer Minority/Female/Disability/Veteran","Aramark delivers experiences that enrich and nourish people’s lives through innovative services in food, facilities management, and uniforms. United by a passion to serve, our more than 270,000 employees make a meaningful difference each day for millions of people in 22 countries around the world. Aramark is recognized among the Most Admired Companies by FORTUNE and World’s Most Ethical Companies by the Ethisphere Institute.Careers with AramarkManagement – Management professionals who have experience working in the hotel, restaurant or hospitality industryCatering – Management professionals with experience working in hotels and resorts hosting large catered eventsCulinary – Professionally trained Executive Chefs and Sous Chefs with experience in large scale operationsTo learn more about a career with Aramark or to apply for a job please visit #URL_aa490f4f24a415c6908fb925924f45379576ba9b002e487d5b20963bc88fd432# or check out our LinkedIn group - #URL_f9e90b17484fa8b910a0444c9bac4ea361de6283d7f899beaba8ad73e287f15a#",0,1,0,Full-time,,,,,0
3733,Caregiver -  Bridgman,"US, MI, Bridgman",,,"""Our mission to our clients is to preserve their independence, enhance their quality of life, promote health &amp; wellbeing and have them consider us a part of their family.""","Home Sweet Home In-Home Care is one of the fastest growing home care agencies in Southwest Michigan! Our constant growth is attributed to excellent client and employee service. Join our team and you will be treated as a valued employee, not just a number. We hold a strong belief that our caregivers are the heart of our company. We offer flexible schedules, a strong support team, and the ability to work from part time to full time.We are currently seeking responsible individuals with a heartfelt desire to assist seniors or disabled individuals safely perform activities of daily living. This position may entail:Assistance with walking and exerciseMenu planning and meal preparationGrocery shopping, errands and escorting clients to and from appointments, etc.Personal careLight housekeeping/ laundryCompanionshipMedication reminders Starting pay is competitive with 90 and 180 day performance reviews. It is important that applicants be familiar with and close to the service areas in an effort to schedule clients effectively and efficiently. Experience is preferred but we will train the right person.",,Competitive compensation with performance reviewsPaid orientation and trainingsMileage reimbursementFlexible schedules,0,1,1,,,High School or equivalent,Hospital & Health Care,Health Care Provider,0
9270,Facebook Flash Games Developer,"GR, , ",,,"Who is AbZorba Games?Founded in 2011 we pride ourselves on creating superb, high-quality multiplayer games that entertain and engage gamers all across the globe. We focus on excellence of execution and push ourselves hard in this fast moving industry whilst enjoying every minute.In our three years we have:Launched our flagship Live Blackjack on Android attaining over 2m gamersAmassed over 5 million installs and still growingAttained the #1 Casino Game iTunes USAExpanded our Hub of Fun™ games portfolio to 17 published gamesGrown our talented team to ten - so farCo-Founded the industry facing International Social Games Association (ISGA)What are our core values?Our core values are integrity, passion and innovation and reward those who bring these attributes to the team. We demand the highest standards in creativity, quality and commitment in ourselves and of our products.What is AbZorba offering?A world leading gaming company renowned in its sector for quality gaming products in a fast paced, hot sector. We pride ourselves on being a dedicated passionate team ready to grow still further and yet with a fair and ambitious work ethic.We provide competitive compensation and rewards with personal and company bonus schemes in place - we reward when ever we want and can not just at the end of the year.We have just moved to light, new offices in the heart of Athens furnished with amazing Mazi Mi chairs, yes we take your sitting seriously. We have also included the all important and inevitable techie creative area with an over-used foozball table!","The Game Developer is responsible for leading the development and implementation of online multiplayer games for the Facebook platform (base technology is FLASH). The games should be designed from the ground up from UI implementation, analytics, usability and monetization. The design and creativity process is always part of collective work through brainstorming sessions from the whole development team. Its important to notice that games are already developed on Mobile and just needed to port on Web / Facebook Platform.","FLASH development experience, ActionscriptGame design and developmentCreativity in designing new features and developing ideas around gamesFacebook API and tools experienceWeb-based architectures and technologies (REST, XML, JSON)Multi-threaded / Multiplayer environment implementationTCP/UDP Sockets Networking CommunicationFluency in EnglishGraphical user interface implementation, animations, visual componentsWork with the graphics team to design layouts in an appealing, intuitive mannerGame engine implementation and evolutionBachelor Degree in Computer Science or Software EngineeringMulti-threaded / Multiplayer environment implementationJSON/XML","Who is AbZorba Games?Founded in 2011 we pride ourselves on creating superb, high-quality multiplayer games that entertain and engage gamers all across the globe. We focus on excellence of execution and push ourselves hard in this fast moving industry whilst enjoying every minute.In our three years we have:Launched our flagship Live Blackjack on Android attaining over 2m gamersAmassed over 5 million installs and still growingAttained the #1 Casino Game iTunes USAExpanded our Hub of Fun™ games portfolio to 17 published gamesGrown our talented team to ten - so farCo-Founded the industry facing International Social Games Association (ISGA)What are our core values?Our core values are integrity, passion and innovation and reward those who bring these attributes to the team. We demand the highest standards in creativity, quality and commitment in ourselves and of our products.What is AbZorba offering?A world leading gaming company renowned in its sector for quality gaming products in a fast paced, hot sector. We pride ourselves on being a dedicated passionate team ready to grow still further and yet with a fair and ambitious work ethic.We provide competitive compensation and rewards with personal and company bonus schemes in place - we reward when ever we want and can not just at the end of the year.We have just moved to light, new offices in the heart of Athens furnished with amazing Mazi Mi chairs, yes we take your sitting seriously. We have also included the all important and inevitable techie creative area with an over-used foozball table!",0,1,0,Full-time,Mid-Senior level,,,,0
15641,Senior .NET Developer (Azure),"NZ, N, Auckland",,85000-120000,"Retailers around the world are constantly working to keep customers coming into their stores. It’s not a new challenge, but it’s one that’s getting harder and harder. With increasing numbers of competitors across all sectors and the added competition from online business, today’s retailer needs to work even harder for foot traffic.We set out with one simple goal: to give retailers an advantage in this ever-toughening market.We’re team of people that are passionate about technology and innovation and we saw a massive opportunity for retailers to be making use of the advantages that mobile affords them.Our head office is based in Auckland, New Zealand where our development team and much of the business’s management team are based. We also have staff and offices in Australia, United Kingdom, Singapore and The United States.","VMob is looking for a senior developer to join a highly-talented, fast-growing team working at the forefront of Azure development.Based at our Headquarters in Auckland's Wynyard innovation precinct, you will be working closely with Microsoft Azure product and development experts, building on the latest platform services and technologies to deliver a highly-scalable big-data solution for some of the world's largest retail brands. ","VMob is looking for a senior developer to join a highly-talented, fast-growing team working at the forefront of Azure development.Based at our Headquarters in Auckland's Wynyard innovation precinct, you will be working closely with Microsoft Azure product and development experts, building on the latest platform services and technologies to deliver a highly-scalable big-data solution for some of the world's largest retail brands.As a Senior Developer, you will bring:Expert at C# .NET#URL_01a736d89d2f0b19de700923d2c312837e180465650804d0f84105352812bf9a#MVCAdvanced SQLWeb ServicesCaching and scaling experienceFamiliarity with GitExcellent trouble-shooting skillsGreat experience with test and deployment automationIdeally you will have experience in:Azure technologies such as Blobs, Table Storage, and Notification HubsVertical and horizontal scaling architecturesHigh performance, high load environmentsAgile ScrumPlease apply now and we will be in touch.",Azure TechnologiesAwesome waterfront locationHigh calibre team,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
2168,"Oil & Gas Mechanical Engineer - Fort Worth, TX","US, TX, Fort Worth",,,"We Provide Full Time Permanent Positions for many medium to large US companies. We are interested in finding/recruiting high quality candidates in IT, Engineering, Manufacturing and other highly technical and non-technical jobs.",A Sr. Mech. Eng (Oil &amp; Gas) is required having 10+ years’ experience in the Mechanical Engineering field ,"Mech. Eng (Oil &amp; Gas) - Fort Worth, TXJob Location: Job is in Fort Worth, TXA Sr. Mech. Eng (Oil &amp; Gas) is required having 10+ years’ experience in the Mechanical Engineering fieldQualifications Required:BS in Mechanical Engineering10+ years’ experience in the Mechanical Engineering fieldMust have recent prior experience in working for an engineering company in Oil &amp; Gas or equivalent engineering environment (Note: this is an automatic reject by the client, no matter how capable the candidate)Ability to travel within the US and internationally as required by projects.Experience in oil, gas, crude or other energy industry is mandatoryRelocation support is offered to the Fort Worth, TX areaMust be authorized to work in the US without any restrictions (US Citizen or US Green Card holder)Full time regular job with salary and benefits that are generous and in line with the candidate’s experienceSalary: Competitive (not a firm, in line with candidate’s experience; $92K to $145K/yr, possibly more)Job Responsibilities:Responsibilities will include the following:•Performs calculations and prepares sketches for specific segments of a project.•Gathers information and prepares technical specifications for the parts of the project they are working on.•Undertake multiple tasks and interface with other disciplines to obtain information to complete the tasks.•Assist with vendor inspection, startup, and commissioning.•Interfaces with the client’s technical personnel on specific project design items or tasks.•Prepares and maintains design basis and assist with the project planning, scheduling, manpower estimates for specific disciplines.•Identifies client requirements and develops specifications, drawings, instructions, calculations, reports and other materials in specific discipline as needed to complete project requirements.•Interfaces with the client to assure discipline activities meet client requirements.•Responsible for preparation and review of material requisitions and review of vendor drawings and bids to determine compliance with specifications.•Checks drawings, specifications, reports and calculations of others on the project team. May have approval authority based on the project organization.•Consults with construction personnel, concerning design constructability as related to field conditions, sequencing and scheduling of construction activities.•Devises new approaches and resolves problems relating to conflicting design requirements, unsuitability of standard materials and difficult coordination requirements.•May function as a Project Engineer responsible for monitoring work activities of a project team and ensuring that all project work is performed in accordance with Company procedures.•Assist with proposal preparation within specific discipline.•Participate in project design reviews as directed by the Chief Discipline Engineer.•May supervise preparation of proposals.•Reviews and may approve correspondence to the client pertaining to project technical issues.•Responsible for review of constructability which may include consultation with construction personnel concerning design constructability as related to field conditions, sequencing and scheduling of construction activities.Visit  : #URL_ec64af2b4fe2ca316e828f93b0cd098c22f8beba98dcac09d4dd7384b221a5e8#-#URL_9753a54b28303bf636a2816399b9c255d76fabb791336a4c748da2611a23264f#",,0,0,0,Full-time,Not Applicable,Bachelor's Degree,Oil & Energy,Engineering,0
